plant_code,group_code,group_name,subgroup_code,subgroup_name,equipment_code,equipment_name,equipment_description,equipment_type,equipment_manufacturer,equipment_model,equipment_serial_number,equipment_voltage_class,equipment_phase_type,equipment_start_date,equipment_latitude,equipment_longitude
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC230,Módulo MC230,N-S-MAIZ-TF605-MC230-IZSB620,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,DISCONNECT_SWITCH,CAMARGO CORREA EQUIP. S.A,SAV,BHS 15422,230.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC230,Módulo MC230,N-S-MAIZ-TF605-MC230-IZSD621,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,DISCONNECT_SWITCH,CAMARGO CORREA EQUIP. S.A,SAV,BHS 15423,230.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC69,Módulo MC69,N-S-MAIZ-TF604-MC69-IZSY404,Chave Seccionadora 69kV,Chave Seccionadora 69kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,EV,2378 (A;B;V),69.000,THREE_PHASE,1988-04-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC69,Módulo MC69,N-S-MAIZ-TF604-MC69-IZSD407,Chave Seccionadora 69kV,Chave Seccionadora 69kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,EV,2053 (A;B;V),69.000,THREE_PHASE,1988-04-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC69,Módulo MC69,N-S-MAIZ-TF604-MC69-IZSD408,Chave Seccionadora 69kV,Chave Seccionadora 69kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,EV,2052 (A;B;V),69.000,THREE_PHASE,1986-11-05,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC69,Módulo MC69,N-S-MAIZ-TF604-MC69-IZDJ404,Disjuntor 69kV,Disjuntor 69kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,CIRCUIT_BREAKER,SIEMENS,3AP1 FG3,9026,69.000,THREE_PHASE,2017-05-06,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC230,Módulo MC230,N-S-MAIZ-TF604-MC230-IZSY606,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,EV,2339 (A;B;V),230.000,THREE_PHASE,1988-04-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC230,Módulo MC230,N-S-MAIZ-TF604-MC230-IZSD614,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,EV,2034A;B;C,230.000,THREE_PHASE,1988-04-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC230,Módulo MC230,N-S-MAIZ-TF604-MC230-IZSB616,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,EV,2032A;2032B;2032C,230.000,THREE_PHASE,1988-04-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC230,Módulo MC230,N-S-MAIZ-TF604-MC230-IZSD613,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,EV,2031 A;B;C,230.000,THREE_PHASE,1988-04-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC230,Módulo MC230,N-S-MAIZ-TF604-MC230-IZSB615,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,EV,2033 (A;B;V),230.000,THREE_PHASE,1988-04-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-MC230,Módulo MC230,N-S-MAIZ-TF604-MC230-IZDJ608,Disjuntor 230kV,Disjuntor 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,CIRCUIT_BREAKER,LORENZETTI,FA2-245-40,1009 T2006,230.000,THREE_PHASE,1988-04-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-TF230,Módulo TF230,N-S-MAIZ-TF604-TF230-IZTF604,Transformador Nº04 230kV Trifásico,Transformador Nº04 230kV Trifásico / Transformador de Potência 230kV Nº 04 / SE Imperatriz,POWER_TRANSFORMER,ANSALDO COEMSA S. A,TOC - NF,46425,230.000,THREE_PHASE,1988-07-15,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-TF230,Módulo TF230,N-S-MAIZ-TF604-TF230-IZST209,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,,,230.000,THREE_PHASE,1984-11-11,NULL,NULL
